Time,Open,High,Low,Close,Qty,PeriodNo,OADate
2020/05/22,1568.80,1625.00,1555.40,1617.90,5203737,43973,29221.5089467593
2020/05/21,1503.00,1583.50,1501.00,1574.30,3846059,43972,29221.5089351852
2020/05/20,1503.95,1514.00,1492.65,1500.05,2057409,43971,29221.5089236111
2020/05/19,1510.00,1516.95,1482.95,1503.95,3164137,43970,29221.508912037
2020/05/18,1558.00,1558.55,1498.10,1501.10,2871937,43969,29221.508900463
2020/05/15,1529.00,1560.00,1510.00,1552.95,2860615,43966,29221.5088657407
2020/05/14,1553.30,1557.60,1517.00,1522.40,2592411,43965,29221.5088541667
2020/05/13,1579.80,1579.80,1533.35,1563.30,2940518,43964,29221.5088425926
2020/05/12,1539.00,1543.75,1512.00,1523.35,4504103,43963,29221.5088310185
2020/05/11,1583.00,1599.00,1555.00,1569.60,3767769,43962,29221.5088194444
2020/05/08,1611.80,1638.00,1570.00,1578.40,5644457,43959,29221.5087847222
2020/05/07,1609.95,1628.70,1545.20,1594.30,5256263,43958,29221.5087731481
2020/05/06,1615.00,1638.70,1577.00,1610.65,3937921,43957,29221.5087615741
2020/05/05,1681.00,1692.90,1578.25,1619.15,5867979,43956,29221.50875
2020/05/04,1718.00,1751.00,1671.50,1676.80,2942445,43955,29221.5087384259
2020/04/30,1795.00,1797.00,1741.00,1758.70,2926355,43951,29221.5086921296
2020/04/29,1846.90,1847.00,1755.90,1767.50,2931170,43950,29221.5086805556
2020/04/28,1847.20,1864.00,1806.30,1824.40,1934920,43949,29221.5086689815
2020/04/27,1840.00,1859.80,1818.10,1851.35,1770892,43948,29221.5086574074
2020/04/24,1815.05,1842.80,1814.00,1827.55,2744934,43945,29221.5086226852
2020/04/23,1807.00,1845.40,1801.05,1821.65,2573566,43944,29221.5086111111
2020/04/22,1717.10,1822.00,1712.25,1813.00,3727806,43943,29221.508599537
2020/04/21,1710.00,1753.95,1700.00,1726.00,1594930,43942,29221.508587963
2020/04/20,1758.25,1758.65,1705.65,1730.45,1431055,43941,29221.5085763889
2020/04/17,1763.00,1783.70,1727.10,1756.25,1398782,43938,29221.5085416667
2020/04/16,1691.00,1752.30,1684.75,1743.10,1821296,43937,29221.5085300926
2020/04/15,1703.65,1736.75,1683.80,1718.20,2508280,43936,29221.5085185185
