Time,Open,High,Low,Close,Qty,PeriodNo,OADate
2020/05/22,463.60,473.50,453.00,457.30,2053655,43973,29221.5089467593
2020/05/21,443.40,472.85,438.10,465.45,1904926,43972,29221.5089351852
2020/05/20,438.00,452.00,431.45,444.10,1737199,43971,29221.5089236111
2020/05/19,441.50,447.15,435.00,439.30,1613504,43970,29221.508912037
2020/05/18,450.00,452.95,438.35,440.45,804337,43969,29221.508900463
2020/05/15,460.00,460.00,448.05,450.85,1502999,43966,29221.5088657407
2020/05/14,450.00,459.90,444.10,454.95,1589842,43965,29221.5088541667
2020/05/13,470.00,471.00,448.40,455.00,1539595,43964,29221.5088425926
2020/05/12,446.00,459.00,443.20,457.30,1321365,43963,29221.5088310185
2020/05/11,463.90,463.90,446.65,452.55,1281048,43962,29221.5088194444
2020/05/08,457.00,465.10,448.80,455.40,2258448,43959,29221.5087847222
2020/05/07,465.15,471.05,440.40,450.65,3182355,43958,29221.5087731481
2020/05/06,460.20,474.55,455.05,464.50,1577336,43957,29221.5087615741
2020/05/05,482.20,489.75,464.00,468.50,2087282,43956,29221.50875
2020/05/04,500.00,502.00,478.75,481.10,1202869,43955,29221.5087384259
2020/04/30,515.00,517.25,502.55,508.40,2294731,43951,29221.5086921296
2020/04/29,531.00,535.90,511.45,517.25,1191125,43950,29221.5086805556
2020/04/28,539.90,546.55,523.50,529.95,1609600,43949,29221.5086689815
2020/04/27,522.00,534.00,518.85,531.20,855039,43948,29221.5086574074
2020/04/24,521.00,535.00,515.00,519.70,1502468,43945,29221.5086226852
2020/04/23,529.70,543.00,519.05,523.15,1186582,43944,29221.5086111111
2020/04/22,527.10,537.30,520.00,530.65,2362427,43943,29221.508599537
2020/04/21,513.50,527.75,505.05,525.15,1593223,43942,29221.508587963
2020/04/20,520.70,524.50,507.25,514.35,778657,43941,29221.5085763889
2020/04/17,521.20,531.90,508.00,515.75,948858,43938,29221.5085416667
2020/04/16,516.00,521.60,507.00,515.40,1476905,43937,29221.5085300926
2020/04/15,498.00,523.95,497.70,512.65,2418076,43936,29221.5085185185
2020/04/13,472.10,496.80,465.00,492.90,1363753,43934,29221.5084953704
2020/04/09,468.90,482.50,465.00,474.30,832489,43930,29221.5084490741
2020/04/08,479.90,487.65,460.00,463.50,1729062,43929,29221.5084375
2020/04/07,465.65,482.00,442.35,479.20,1567514,43928,29221.5084259259
2020/04/03,480.10,483.00,444.65,448.65,1430557,43924,29221.5083796296
2020/04/01,500.40,500.85,476.40,483.45,1001576,43922,29221.5083564815
2020/03/31,496.00,503.00,481.15,497.95,1136346,43921,29221.5083449074
2020/03/30,480.70,485.60,466.30,478.35,1341612,43920,29221.5083333333
2020/03/27,495.00,499.90,465.55,485.60,1204649,43917,29221.5082986111
2020/03/26,449.95,494.00,449.00,478.30,2133901,43916,29221.508287037
2020/03/25,409.65,454.95,408.25,449.80,1551328,43915,29221.508275463
2020/03/24,409.35,443.50,395.00,424.90,1410508,43914,29221.5082638889
2020/03/23,406.00,450.00,406.00,413.45,1563186,43913,29221.5082523148
2020/03/20,413.90,456.00,400.00,450.65,2224187,43910,29221.5082175926
2020/03/19,405.00,444.00,389.35,404.05,2743380,43909,29221.5082060185
2020/03/18,455.00,461.95,429.55,436.00,1843461,43908,29221.5081944444
2020/03/17,428.50,465.55,422.30,448.30,2101891,43907,29221.5081828704
2020/03/16,458.20,458.20,426.35,429.25,1405809,43906,29221.5081712963
2020/03/13,441.00,491.65,400.00,458.20,2046875,43903,29221.5081365741
2020/03/12,482.25,492.20,460.00,472.45,1976863,43902,29221.508125
2020/03/11,527.15,529.70,498.25,502.40,2526867,43901,29221.5081134259
2020/03/09,538.00,549.60,515.40,527.15,2079655,43899,29221.5080902778
2020/03/06,522.00,537.20,522.00,535.25,1048978,43896,29221.5080555556
2020/03/05,547.00,550.00,537.50,539.80,1446743,43895,29221.5080439815
2020/03/04,543.50,552.20,531.20,540.80,1980061,43894,29221.5080324074
2020/03/03,556.90,563.00,539.15,541.65,1563205,43893,29221.5080208333
2020/03/02,575.00,577.00,550.60,556.95,1286412,43892,29221.5080092593
2020/02/28,567.09,585.93,548.70,564.65,2797886,43889,29221.507974537
2020/02/27,565.10,578.05,563.30,575.36,1365828,43888,29221.507962963
2020/02/26,568.09,571.43,563.16,565.10,794832,43887,29221.5079513889
2020/02/25,565.15,575.11,565.10,567.19,728566,43886,29221.5079398148
2020/02/24,568.09,573.67,562.66,566.39,1021143,43885,29221.5079282407
2020/02/20,576.46,580.35,569.18,570.68,763534,43881,29221.5078819444
2020/02/19,581.84,581.94,570.08,577.21,924057,43880,29221.5078703704
2020/02/18,576.61,578.50,568.29,577.56,938699,43879,29221.5078587963
2020/02/17,576.56,585.68,575.06,578.20,823282,43878,29221.5078472222
2020/02/14,576.06,585.78,574.72,577.66,686935,43875,29221.5078125
2020/02/13,579.85,582.54,574.07,579.75,781999,43874,29221.5078009259
2020/02/12,580.65,590.11,575.56,580.30,1337330,43873,29221.5077893519
2020/02/11,584.03,588.02,578.05,580.85,1132756,43872,29221.5077777778
2020/02/10,571.78,581.74,562.21,580.25,1096883,43871,29221.5077662037
2020/02/07,575.06,579.90,565.25,568.94,1132071,43868,29221.5077314815
2020/02/06,585.98,585.98,567.09,572.67,1789575,43867,29221.5077199074
2020/02/05,590.91,595.00,580.20,586.68,2910008,43866,29221.5077083333
2020/02/04,574.17,591.96,563.25,586.53,1972213,43865,29221.5076967593
2020/02/03,546.66,571.58,546.66,568.39,1808837,43864,29221.5076851852
2020/02/01,558.27,566.59,541.38,546.66,544998,43862,29221.507662037
2020/01/31,566.10,572.57,555.63,558.27,1214534,43861,29221.507650463
2020/01/30,574.07,577.96,561.76,568.04,1785633,43860,29221.5076388889
2020/01/29,559.97,572.92,558.87,571.03,1130800,43859,29221.5076273148
2020/01/28,561.56,565.80,554.19,558.87,802264,43858,29221.5076157407
2020/01/27,560.12,567.59,555.48,558.77,941341,43857,29221.5076041667
2020/01/24,552.44,565.60,552.44,557.87,1779180,43854,29221.5075694444
2020/01/23,538.74,553.64,536.69,550.70,807274,43853,29221.5075578704
2020/01/22,548.26,549.75,535.70,538.04,1640018,43852,29221.5075462963
2020/01/21,562.71,563.11,545.17,547.61,2291747,43851,29221.5075347222
2020/01/20,561.31,566.94,557.72,565.25,1350043,43850,29221.5075231482
2020/01/17,546.16,564.10,544.22,561.36,2172326,43847,29221.5074884259
2020/01/16,548.16,548.16,537.59,545.61,1103788,43846,29221.5074768519
